Gene: group_10061, Count of 1s: 9, Samples with 1s: ['ERR4034211', 'ERR4034218', 'ERR4034964', 'ERR4035377', 'ERR4035765', 'ERR4035970', 'ERR4036038', 'ERR4036930', 'ERR4036936']
Gene: group_2707, Count of 1s: 3, Samples with 1s: ['ERR4034944', 'ERR4036280', 'ERR4036483']
Gene: group_2725, Count of 1s: 3, Samples with 1s: ['ERR4035208', 'ERR4036483', 'ERR4037099']
Gene: group_2739, Count of 1s: 3, Samples with 1s: ['ERR4035765', 'ERR4036199', 'ERR4036769']
Gene: group_274, Count of 1s: 3, Samples with 1s: ['ERR4035919', 'ERR4036038', 'ERR4036182']
Gene: group_2759, Count of 1s: 3, Samples with 1s: ['ERR4034944', 'ERR4035939', 'ERR4036045']
Gene: group_276, Count of 1s: 3, Samples with 1s: ['ERR4034691', 'ERR4035408', 'ERR4037442']
Gene: group_2772, Count of 1s: 3, Samples with 1s: ['ERR4035408', 'ERR4036769', 'ERR4037391']
Gene: group_2776, Count of 1s: 3, Samples with 1s: ['ERR4034659', 'ERR4035765', 'ERR4035970']
Gene: group_2781, Count of 1s: 3, Samples with 1s: ['ERR4035568', 'ERR4035939', 'ERR4035952']
Gene: group_2786, Count of 1s: 3, Samples with 1s: ['ERR4035268', 'ERR4035826', 'ERR4036171']
Gene: sfaA_1, Count of 1s: 3, Samples with 1s: ['ERR4034367', 'ERR4034762', 'ERR4037378']
Gene: group_28, Count of 1s: 3, Samples with 1s: ['ERR4036423', 'ERR4036745', 'ERR4037404']
Gene: group_2806, Count of 1s: 3, Samples with 1s: ['ERR4035683', 'ERR4035970', 'ERR4037448']
Gene: group_2807, Count of 1s: 3, Samples with 1s: ['ERR4034864', 'ERR4034938', 'ERR4037222']
Gene: group_2819, Count of 1s: 3, Samples with 1s: ['ERR4034313', 'ERR4037218', 'ERR4037259']
Gene: group_2843, Count of 1s: 3, Samples with 1s: ['ERR4035236', 'ERR4035919', 'ERR4037202']
Gene: group_2855, Count of 1s: 3, Samples with 1s: ['ERR4035418', 'ERR4035598', 'ERR4036673']
Gene: cfaD, Count of 1s: 3, Samples with 1s: ['ERR4034506', 'ERR4034629', 'ERR4034915']
Gene: def_1, Count of 1s: 3, Samples with 1s: ['ERR4035564', 'ERR4037405', 'ERR4037448']
Gene: group_2903, Count of 1s: 3, Samples with 1s: ['ERR4035027', 'ERR4035051', 'ERR4037482']
Gene: group_2906, Count of 1s: 3, Samples with 1s: ['ERR4035027', 'ERR4035051', 'ERR4037482']
Gene: group_2910, Count of 1s: 3, Samples with 1s: ['ERR4035765', 'ERR4036499', 'ERR4036501']
Gene: group_2912, Count of 1s: 3, Samples with 1s: ['ERR4035564', 'ERR4036956', 'ERR4037448']
Gene: yedS_2, Count of 1s: 3, Samples with 1s: ['ERR4035683', 'ERR4036038', 'ERR4037222']
Gene: group_2949, Count of 1s: 3, Samples with 1s: ['ERR4034659', 'ERR4035919', 'ERR4035969']
Gene: group_2950, Count of 1s: 3, Samples with 1s: ['ERR4034814', 'ERR4035952', 'ERR4036140']
Gene: group_2952, Count of 1s: 3, Samples with 1s: ['ERR4035970', 'ERR4036930', 'ERR4037009']
Gene: group_2956, Count of 1s: 3, Samples with 1s: ['ERR4035027', 'ERR4035051', 'ERR4037482']
Gene: group_2970, Count of 1s: 3, Samples with 1s: ['ERR4035318', 'ERR4035817', 'ERR4036182']
Gene: group_2982, Count of 1s: 3, Samples with 1s: ['ERR4036397', 'ERR4036936', 'ERR4037260']
Gene: group_2984, Count of 1s: 3, Samples with 1s: ['ERR4034234', 'ERR4034301', 'ERR4036811']
Gene: group_2989, Count of 1s: 3, Samples with 1s: ['ERR4034538', 'ERR4035454', 'ERR4036921']
Gene: group_3001, Count of 1s: 3, Samples with 1s: ['ERR4034691', 'ERR4035408', 'ERR4037442']
Gene: group_3005, Count of 1s: 3, Samples with 1s: ['ERR4034631', 'ERR4035765', 'ERR4037405']
Gene: group_301, Count of 1s: 3, Samples with 1s: ['ERR4034884', 'ERR4034979', 'ERR4036199']
Gene: group_3012, Count of 1s: 3, Samples with 1s: ['ERR4035238', 'ERR4036178', 'ERR4036769']
Gene: group_3017, Count of 1s: 3, Samples with 1s: ['ERR4034111', 'ERR4034714', 'ERR4036483']
Gene: group_302, Count of 1s: 3, Samples with 1s: ['ERR4034367', 'ERR4034762', 'ERR4037378']
Gene: group_3025, Count of 1s: 3, Samples with 1s: ['ERR4036483', 'ERR4037406', 'ERR4037435']
Gene: group_3040, Count of 1s: 3, Samples with 1s: ['ERR4034631', 'ERR4035765', 'ERR4037405']
Gene: group_3041, Count of 1s: 3, Samples with 1s: ['ERR4034864', 'ERR4034938', 'ERR4037222']
Gene: group_3066, Count of 1s: 3, Samples with 1s: ['ERR4034629', 'ERR4035208', 'ERR4035540']
Gene: group_3076, Count of 1s: 3, Samples with 1s: ['ERR4035712', 'ERR4036614', 'ERR4036777']
Gene: group_3089, Count of 1s: 3, Samples with 1s: ['ERR4034964', 'ERR4035320', 'ERR4035640']
Gene: group_31, Count of 1s: 3, Samples with 1s: ['ERR4034864', 'ERR4034938', 'ERR4037222']
Gene: group_311, Count of 1s: 3, Samples with 1s: ['ERR4034659', 'ERR4034786', 'ERR4034827']
Gene: group_3114, Count of 1s: 3, Samples with 1s: ['ERR4036288', 'ERR4037009', 'ERR4037378']
Gene: group_3116, Count of 1s: 3, Samples with 1s: ['ERR4034254', 'ERR4034672', 'ERR4035969']
Gene: group_3117, Count of 1s: 3, Samples with 1s: ['ERR4034367', 'ERR4034691', 'ERR4037259']
Gene: group_3127, Count of 1s: 3, Samples with 1s: ['ERR4035969', 'ERR4036811', 'ERR4037423']
Gene: group_3137, Count of 1s: 3, Samples with 1s: ['ERR4036204', 'ERR4036499', 'ERR4037259']
Gene: group_3138, Count of 1s: 3, Samples with 1s: ['ERR4034699', 'ERR4035808', 'ERR4037150']
Gene: group_3139, Count of 1s: 3, Samples with 1s: ['ERR4035712', 'ERR4036614', 'ERR4036777']
Gene: group_314, Count of 1s: 3, Samples with 1s: ['ERR4034234', 'ERR4034254', 'ERR4036245']
Gene: group_3141, Count of 1s: 3, Samples with 1s: ['ERR4036199', 'ERR4036769', 'ERR4036794']
Gene: group_3149, Count of 1s: 3, Samples with 1s: ['ERR4035318', 'ERR4035969', 'ERR4036182']
Gene: group_3151, Count of 1s: 3, Samples with 1s: ['ERR4034601', 'ERR4035827', 'ERR4035955']
Gene: group_3156, Count of 1s: 3, Samples with 1s: ['ERR4034980', 'ERR4035212', 'ERR4037450']
Gene: group_3157, Count of 1s: 3, Samples with 1s: ['ERR4034955', 'ERR4035568', 'ERR4036045']
Gene: group_3166, Count of 1s: 3, Samples with 1s: ['ERR4034944', 'ERR4034971', 'ERR4035283']
Gene: group_3169, Count of 1s: 3, Samples with 1s: ['ERR4034699', 'ERR4035808', 'ERR4037150']
Gene: group_3173, Count of 1s: 3, Samples with 1s: ['ERR4034672', 'ERR4035318', 'ERR4036182']
Gene: group_3178, Count of 1s: 3, Samples with 1s: ['ERR4036131', 'ERR4037393', 'ERR4037404']
Gene: group_3182, Count of 1s: 3, Samples with 1s: ['ERR4034394', 'ERR4035454', 'ERR4035669']
Gene: group_3185, Count of 1s: 3, Samples with 1s: ['ERR4034303', 'ERR4036199', 'ERR4036483']
Gene: group_3196, Count of 1s: 3, Samples with 1s: ['ERR4034629', 'ERR4035976', 'ERR4036745']
Gene: group_32, Count of 1s: 3, Samples with 1s: ['ERR4034629', 'ERR4035208', 'ERR4035540']
Gene: group_3201, Count of 1s: 3, Samples with 1s: ['ERR4035229', 'ERR4035568', 'ERR4036664']
Gene: group_3216, Count of 1s: 3, Samples with 1s: ['ERR4035268', 'ERR4035826', 'ERR4036171']
Gene: group_3223, Count of 1s: 3, Samples with 1s: ['ERR4034670', 'ERR4036131', 'ERR4037099']
Gene: group_3226, Count of 1s: 3, Samples with 1s: ['ERR4034884', 'ERR4034979', 'ERR4036199']
Gene: group_3228, Count of 1s: 3, Samples with 1s: ['ERR4034254', 'ERR4034629', 'ERR4036614']
Gene: group_3230, Count of 1s: 3, Samples with 1s: ['ERR4036131', 'ERR4037393', 'ERR4037404']
Gene: group_3231, Count of 1s: 3, Samples with 1s: ['ERR4035236', 'ERR4035919', 'ERR4037202']
Gene: group_3263, Count of 1s: 3, Samples with 1s: ['ERR4034254', 'ERR4036501', 'ERR4037448']
Gene: group_3281, Count of 1s: 3, Samples with 1s: ['ERR4034218', 'ERR4035568', 'ERR4036936']
Gene: group_3284, Count of 1s: 3, Samples with 1s: ['ERR4034154', 'ERR4035283', 'ERR4037222']
Gene: group_3285, Count of 1s: 3, Samples with 1s: ['ERR4034231', 'ERR4034955', 'ERR4036423']
Gene: group_3289, Count of 1s: 3, Samples with 1s: ['ERR4035431', 'ERR4035969', 'ERR4036178']
Gene: group_329, Count of 1s: 3, Samples with 1s: ['ERR4036391', 'ERR4036483', 'ERR4037260']
Gene: group_330, Count of 1s: 3, Samples with 1s: ['ERR4034064', 'ERR4037146', 'ERR4037362']
Gene: group_331, Count of 1s: 3, Samples with 1s: ['ERR4034944', 'ERR4034971', 'ERR4035283']
Gene: group_3323, Count of 1s: 3, Samples with 1s: ['ERR4034462', 'ERR4034864', 'ERR4036380']
Gene: group_3335, Count of 1s: 3, Samples with 1s: ['ERR4036131', 'ERR4036745', 'ERR4037393']
Gene: group_3338, Count of 1s: 3, Samples with 1s: ['ERR4035692', 'ERR4035939', 'ERR4036045']
Gene: group_3340, Count of 1s: 3, Samples with 1s: ['ERR4035027', 'ERR4035051', 'ERR4037482']
Gene: group_3347, Count of 1s: 3, Samples with 1s: ['ERR4034394', 'ERR4034506', 'ERR4034825']
Gene: group_3358, Count of 1s: 3, Samples with 1s: ['ERR4034462', 'ERR4034786', 'ERR4037009']
Gene: group_3369, Count of 1s: 3, Samples with 1s: ['ERR4036383', 'ERR4036413', 'ERR4036956']
Gene: group_3372, Count of 1s: 3, Samples with 1s: ['ERR4035817', 'ERR4035976', 'ERR4036383']
Gene: group_3380, Count of 1s: 3, Samples with 1s: ['ERR4035135', 'ERR4035976', 'ERR4036383']
Gene: group_339, Count of 1s: 3, Samples with 1s: ['ERR4034793', 'ERR4035320', 'ERR4037107']
Gene: group_3395, Count of 1s: 3, Samples with 1s: ['ERR4035421', 'ERR4036199', 'ERR4036769']
Gene: group_3406, Count of 1s: 3, Samples with 1s: ['ERR4035561', 'ERR4036154', 'ERR4037202']
Gene: group_3411, Count of 1s: 3, Samples with 1s: ['ERR4035418', 'ERR4035598', 'ERR4036673']
Gene: group_3412, Count of 1s: 3, Samples with 1s: ['ERR4034462', 'ERR4034786', 'ERR4037009']
Gene: group_3419, Count of 1s: 3, Samples with 1s: ['ERR4036383', 'ERR4036956', 'ERR4037404']
Gene: group_3422, Count of 1s: 3, Samples with 1s: ['ERR4036769', 'ERR4036811', 'ERR4037391']
Gene: cmoM_2, Count of 1s: 3, Samples with 1s: ['ERR4035236', 'ERR4035919', 'ERR4037202']
Gene: group_3436, Count of 1s: 3, Samples with 1s: ['ERR4034854', 'ERR4035318', 'ERR4036397']
Gene: yjiK_2, Count of 1s: 3, Samples with 1s: ['ERR4035268', 'ERR4036764', 'ERR4037260']
Gene: group_3445, Count of 1s: 3, Samples with 1s: ['ERR4034814', 'ERR4036140', 'ERR4037423']
Gene: rhsA, Count of 1s: 3, Samples with 1s: ['ERR4035683', 'ERR4036245', 'ERR4036811']
Gene: group_3460, Count of 1s: 3, Samples with 1s: ['ERR4035229', 'ERR4035568', 'ERR4036245']
Gene: group_3473, Count of 1s: 3, Samples with 1s: ['ERR4034699', 'ERR4035808', 'ERR4036501']
Gene: group_3482, Count of 1s: 3, Samples with 1s: ['ERR4036489', 'ERR4036947', 'ERR4037116']
Gene: group_349, Count of 1s: 3, Samples with 1s: ['ERR4035564', 'ERR4036424', 'ERR4036894']
Gene: group_3501, Count of 1s: 3, Samples with 1s: ['ERR4034598', 'ERR4035683', 'ERR4036144']
Gene: group_3502, Count of 1s: 3, Samples with 1s: ['ERR4034467', 'ERR4034563', 'ERR4036163']
Gene: group_3511, Count of 1s: 3, Samples with 1s: ['ERR4034538', 'ERR4036391', 'ERR4037260']
Gene: group_3512, Count of 1s: 3, Samples with 1s: ['ERR4035318', 'ERR4035817', 'ERR4036182']
Gene: group_3519, Count of 1s: 3, Samples with 1s: ['ERR4035683', 'ERR4035826', 'ERR4036397']
Gene: group_3537, Count of 1s: 3, Samples with 1s: ['ERR4035027', 'ERR4035051', 'ERR4037482']
Gene: group_3545, Count of 1s: 3, Samples with 1s: ['ERR4035236', 'ERR4035919', 'ERR4037202']
Gene: group_3562, Count of 1s: 3, Samples with 1s: ['ERR4035765', 'ERR4036499', 'ERR4036501']
Gene: group_3569, Count of 1s: 3, Samples with 1s: ['ERR4036131', 'ERR4037393', 'ERR4037404']
Gene: group_3585, Count of 1s: 3, Samples with 1s: ['ERR4034825', 'ERR4035808', 'ERR4036664']
Gene: group_3607, Count of 1s: 3, Samples with 1s: ['ERR4034467', 'ERR4034563', 'ERR4034980']
Gene: traI_2, Count of 1s: 3, Samples with 1s: ['ERR4034629', 'ERR4034980', 'ERR4035212']
Gene: group_3620, Count of 1s: 3, Samples with 1s: ['ERR4035208', 'ERR4035406', 'ERR4036745']
Gene: group_3621, Count of 1s: 3, Samples with 1s: ['ERR4034467', 'ERR4034563', 'ERR4036045']
Gene: group_3638, Count of 1s: 3, Samples with 1s: ['ERR4035690', 'ERR4037146', 'ERR4037202']
Gene: group_3644, Count of 1s: 3, Samples with 1s: ['ERR4035268', 'ERR4036171', 'ERR4036199']
Gene: group_3652, Count of 1s: 3, Samples with 1s: ['ERR4035970', 'ERR4036930', 'ERR4037009']
Gene: group_3666, Count of 1s: 3, Samples with 1s: ['ERR4034815', 'ERR4036383', 'ERR4036745']
Gene: group_3685, Count of 1s: 3, Samples with 1s: ['ERR4034870', 'ERR4036169', 'ERR4037007']
Gene: group_3704, Count of 1s: 3, Samples with 1s: ['ERR4034762', 'ERR4034979', 'ERR4037396']
Gene: group_3705, Count of 1s: 3, Samples with 1s: ['ERR4034064', 'ERR4036045', 'ERR4037396']
Gene: group_371, Count of 1s: 3, Samples with 1s: ['ERR4034462', 'ERR4037300', 'ERR4037362']
Gene: group_3714, Count of 1s: 3, Samples with 1s: ['ERR4034629', 'ERR4034915', 'ERR4036501']
Gene: group_3726, Count of 1s: 3, Samples with 1s: ['ERR4034631', 'ERR4034955', 'ERR4036175']
Gene: group_3727, Count of 1s: 3, Samples with 1s: ['ERR4035268', 'ERR4035520', 'ERR4037009']
Gene: group_3740, Count of 1s: 3, Samples with 1s: ['ERR4035135', 'ERR4036936', 'ERR4037218']
Gene: group_3744, Count of 1s: 3, Samples with 1s: ['ERR4034631', 'ERR4034955', 'ERR4035690']
Gene: group_3754, Count of 1s: 3, Samples with 1s: ['ERR4035564', 'ERR4036424', 'ERR4036894']
Gene: group_3765, Count of 1s: 3, Samples with 1s: ['ERR4034506', 'ERR4034629', 'ERR4034915']
Gene: group_3789, Count of 1s: 3, Samples with 1s: ['ERR4035208', 'ERR4035408', 'ERR4037391']
Gene: group_3817, Count of 1s: 3, Samples with 1s: ['ERR4034814', 'ERR4035318', 'ERR4037007']
Gene: group_382, Count of 1s: 3, Samples with 1s: ['ERR4034631', 'ERR4035765', 'ERR4037405']
Gene: group_3824, Count of 1s: 3, Samples with 1s: ['ERR4035238', 'ERR4036178', 'ERR4036769']
Gene: group_3830, Count of 1s: 3, Samples with 1s: ['ERR4035690', 'ERR4035952', 'ERR4037202']
Gene: group_3840, Count of 1s: 3, Samples with 1s: ['ERR4034964', 'ERR4035152', 'ERR4035377']
Gene: group_3852, Count of 1s: 3, Samples with 1s: ['ERR4034944', 'ERR4036280', 'ERR4036483']
Gene: group_3854, Count of 1s: 3, Samples with 1s: ['ERR4034367', 'ERR4035320', 'ERR4036921']
Gene: group_3855, Count of 1s: 3, Samples with 1s: ['ERR4034211', 'ERR4034218', 'ERR4035568']
Gene: group_3899, Count of 1s: 3, Samples with 1s: ['ERR4036131', 'ERR4037150', 'ERR4037393']
Gene: group_3913, Count of 1s: 3, Samples with 1s: ['ERR4035268', 'ERR4035377', 'ERR4036171']
Gene: group_3915, Count of 1s: 3, Samples with 1s: ['ERR4035236', 'ERR4035919', 'ERR4037202']
Gene: group_3916, Count of 1s: 3, Samples with 1s: ['ERR4035236', 'ERR4035690', 'ERR4037202']
Gene: group_3928, Count of 1s: 3, Samples with 1s: ['ERR4035683', 'ERR4035826', 'ERR4036397']
Gene: group_3934, Count of 1s: 3, Samples with 1s: ['ERR4034301', 'ERR4034762', 'ERR4035135']
Gene: group_3940, Count of 1s: 3, Samples with 1s: ['ERR4034814', 'ERR4035274', 'ERR4035939']
Gene: group_3947, Count of 1s: 3, Samples with 1s: ['ERR4036499', 'ERR4036930', 'ERR4037009']
Gene: group_395, Count of 1s: 3, Samples with 1s: ['ERR4034667', 'ERR4034814', 'ERR4036769']
Gene: group_3951, Count of 1s: 3, Samples with 1s: ['ERR4035268', 'ERR4035826', 'ERR4036171']
Gene: group_3958, Count of 1s: 3, Samples with 1s: ['ERR4034629', 'ERR4034915', 'ERR4036501']
Gene: group_3960, Count of 1s: 3, Samples with 1s: ['ERR4034598', 'ERR4036144', 'ERR4037222']
Gene: group_3982, Count of 1s: 3, Samples with 1s: ['ERR4035765', 'ERR4036038', 'ERR4036936']
Gene: group_3989, Count of 1s: 3, Samples with 1s: ['ERR4036131', 'ERR4036745', 'ERR4037393']
Gene: group_4006, Count of 1s: 3, Samples with 1s: ['ERR4034254', 'ERR4035431', 'ERR4036280']
Gene: group_4010, Count of 1s: 3, Samples with 1s: ['ERR4034462', 'ERR4034955', 'ERR4036777']
Gene: group_4022, Count of 1s: 3, Samples with 1s: ['ERR4034254', 'ERR4035919', 'ERR4036955']
Gene: group_4041, Count of 1s: 3, Samples with 1s: ['ERR4035939', 'ERR4036771', 'ERR4037404']
Gene: group_4047, Count of 1s: 3, Samples with 1s: ['ERR4034367', 'ERR4034762', 'ERR4037378']
Gene: group_4049, Count of 1s: 3, Samples with 1s: ['ERR4034854', 'ERR4035939', 'ERR4036045']
Gene: group_4053, Count of 1s: 3, Samples with 1s: ['ERR4035418', 'ERR4035598', 'ERR4036673']
Gene: group_4068, Count of 1s: 3, Samples with 1s: ['ERR4034980', 'ERR4035377', 'ERR4036955']
Gene: group_4072, Count of 1s: 3, Samples with 1s: ['ERR4034467', 'ERR4034530', 'ERR4036424']
Gene: group_4076, Count of 1s: 3, Samples with 1s: ['ERR4035970', 'ERR4036930', 'ERR4037009']
Gene: group_4091, Count of 1s: 3, Samples with 1s: ['ERR4035826', 'ERR4036483', 'ERR4036499']
Gene: group_4093, Count of 1s: 3, Samples with 1s: ['ERR4035826', 'ERR4036037', 'ERR4036045']
Gene: group_4094, Count of 1s: 3, Samples with 1s: ['ERR4035421', 'ERR4036777', 'ERR4036930']
Gene: group_4104, Count of 1s: 3, Samples with 1s: ['ERR4036131', 'ERR4037393', 'ERR4037404']
Gene: group_4116, Count of 1s: 3, Samples with 1s: ['ERR4034218', 'ERR4036397', 'ERR4036936']
Gene: group_4123, Count of 1s: 3, Samples with 1s: ['ERR4034563', 'ERR4034629', 'ERR4034825']
Gene: group_4126, Count of 1s: 3, Samples with 1s: ['ERR4036131', 'ERR4036894', 'ERR4037393']
Gene: group_4131, Count of 1s: 3, Samples with 1s: ['ERR4035268', 'ERR4035826', 'ERR4036171']
Gene: group_4133, Count of 1s: 3, Samples with 1s: ['ERR4034467', 'ERR4034563', 'ERR4037382']
Gene: group_4142, Count of 1s: 3, Samples with 1s: ['ERR4034367', 'ERR4034762', 'ERR4037378']
Gene: group_4155, Count of 1s: 3, Samples with 1s: ['ERR4034538', 'ERR4034942', 'ERR4037260']
Gene: group_4157, Count of 1s: 3, Samples with 1s: ['ERR4034786', 'ERR4036380', 'ERR4036424']
Gene: group_4158, Count of 1s: 3, Samples with 1s: ['ERR4034506', 'ERR4034629', 'ERR4034915']
Gene: group_4165, Count of 1s: 3, Samples with 1s: ['ERR4035976', 'ERR4036383', 'ERR4036956']
Gene: group_4170, Count of 1s: 3, Samples with 1s: ['ERR4034462', 'ERR4034786', 'ERR4037009']
Gene: group_4179, Count of 1s: 3, Samples with 1s: ['ERR4035817', 'ERR4035919', 'ERR4037362']
Gene: group_4182, Count of 1s: 3, Samples with 1s: ['ERR4034254', 'ERR4037423', 'ERR4037448']
Gene: group_4187, Count of 1s: 3, Samples with 1s: ['ERR4034944', 'ERR4034971', 'ERR4035283']
Gene: group_419, Count of 1s: 3, Samples with 1s: ['ERR4034915', 'ERR4036131', 'ERR4037393']
Gene: espP, Count of 1s: 3, Samples with 1s: ['ERR4034506', 'ERR4034629', 'ERR4034915']
Gene: group_4198, Count of 1s: 3, Samples with 1s: ['ERR4034394', 'ERR4036947', 'ERR4037404']
Gene: group_4199, Count of 1s: 3, Samples with 1s: ['ERR4034672', 'ERR4035919', 'ERR4037382']
Gene: group_4216, Count of 1s: 3, Samples with 1s: ['ERR4034699', 'ERR4035970', 'ERR4037448']
Gene: group_4220, Count of 1s: 3, Samples with 1s: ['ERR4034519', 'ERR4035229', 'ERR4037222']
Gene: group_4223, Count of 1s: 3, Samples with 1s: ['ERR4035712', 'ERR4036501', 'ERR4036614']
Gene: group_4225, Count of 1s: 3, Samples with 1s: ['ERR4035238', 'ERR4036178', 'ERR4036769']
Gene: bglC, Count of 1s: 3, Samples with 1s: ['ERR4036131', 'ERR4037393', 'ERR4037404']
Gene: group_4241, Count of 1s: 3, Samples with 1s: ['ERR4034659', 'ERR4035765', 'ERR4035970']
Gene: group_4262, Count of 1s: 3, Samples with 1s: ['ERR4035236', 'ERR4035919', 'ERR4037202']
Gene: group_4265, Count of 1s: 3, Samples with 1s: ['ERR4034254', 'ERR4034827', 'ERR4035229']
Gene: group_4271, Count of 1s: 3, Samples with 1s: ['ERR4035970', 'ERR4036930', 'ERR4037009']
Gene: group_4274, Count of 1s: 3, Samples with 1s: ['ERR4034218', 'ERR4035421', 'ERR4036936']
Gene: group_4291, Count of 1s: 3, Samples with 1s: ['ERR4035027', 'ERR4035051', 'ERR4037482']
Gene: group_4306, Count of 1s: 3, Samples with 1s: ['ERR4035970', 'ERR4036930', 'ERR4037009']
Gene: group_431, Count of 1s: 3, Samples with 1s: ['ERR4034659', 'ERR4034827', 'ERR4035969']
Gene: group_4340, Count of 1s: 3, Samples with 1s: ['ERR4036383', 'ERR4036391', 'ERR4036745']
Gene: group_4344, Count of 1s: 3, Samples with 1s: ['ERR4034218', 'ERR4036038', 'ERR4036936']
Gene: group_4349, Count of 1s: 3, Samples with 1s: ['ERR4035027', 'ERR4035051', 'ERR4037482']
Gene: group_4359, Count of 1s: 3, Samples with 1s: ['ERR4034303', 'ERR4035765', 'ERR4036499']
Gene: group_4379, Count of 1s: 3, Samples with 1s: ['ERR4034367', 'ERR4034762', 'ERR4037378']
Gene: iolC, Count of 1s: 3, Samples with 1s: ['ERR4035318', 'ERR4035817', 'ERR4036245']
Gene: dapL, Count of 1s: 3, Samples with 1s: ['ERR4034367', 'ERR4034762', 'ERR4037378']
Gene: group_4401, Count of 1s: 3, Samples with 1s: ['ERR4036045', 'ERR4037260', 'ERR4037450']
Gene: group_4406, Count of 1s: 3, Samples with 1s: ['ERR4035418', 'ERR4035598', 'ERR4036673']
Gene: group_441, Count of 1s: 3, Samples with 1s: ['ERR4035976', 'ERR4036383', 'ERR4036956']
Gene: group_4410, Count of 1s: 3, Samples with 1s: ['ERR4035236', 'ERR4035919', 'ERR4037202']
Gene: group_442, Count of 1s: 3, Samples with 1s: ['ERR4034884', 'ERR4034979', 'ERR4035328']
Gene: group_4432, Count of 1s: 3, Samples with 1s: ['ERR4034538', 'ERR4036424', 'ERR4037150']
Gene: group_444, Count of 1s: 3, Samples with 1s: ['ERR4035208', 'ERR4035765', 'ERR4035939']
Gene: group_4442, Count of 1s: 3, Samples with 1s: ['ERR4034629', 'ERR4034915', 'ERR4034942']
Gene: group_4444, Count of 1s: 3, Samples with 1s: ['ERR4036131', 'ERR4037393', 'ERR4037404']
Gene: group_4461, Count of 1s: 3, Samples with 1s: ['ERR4035976', 'ERR4036383', 'ERR4036956']
Gene: scpC_2, Count of 1s: 3, Samples with 1s: ['ERR4034462', 'ERR4034786', 'ERR4036380']
Gene: group_4515, Count of 1s: 3, Samples with 1s: ['ERR4035418', 'ERR4035598', 'ERR4036673']
Gene: group_4521, Count of 1s: 3, Samples with 1s: ['ERR4036348', 'ERR4036413', 'ERR4037396']
Gene: group_4552, Count of 1s: 3, Samples with 1s: ['ERR4035817', 'ERR4036777', 'ERR4037260']
Gene: group_4558, Count of 1s: 3, Samples with 1s: ['ERR4035408', 'ERR4036769', 'ERR4037391']
Gene: group_4564, Count of 1s: 3, Samples with 1s: ['ERR4035135', 'ERR4035765', 'ERR4036769']
Gene: group_4582, Count of 1s: 3, Samples with 1s: ['ERR4034154', 'ERR4034699', 'ERR4037222']
Gene: group_4590, Count of 1s: 3, Samples with 1s: ['ERR4035027', 'ERR4035051', 'ERR4037482']
Gene: group_4591, Count of 1s: 3, Samples with 1s: ['ERR4034563', 'ERR4034827', 'ERR4037382']
Gene: group_4595, Count of 1s: 3, Samples with 1s: ['ERR4035152', 'ERR4035817', 'ERR4035919']
Gene: group_460, Count of 1s: 3, Samples with 1s: ['ERR4034211', 'ERR4034234', 'ERR4036811']
Gene: group_4606, Count of 1s: 3, Samples with 1s: ['ERR4035561', 'ERR4035692', 'ERR4036045']
Gene: group_4613, Count of 1s: 3, Samples with 1s: ['ERR4034506', 'ERR4034672', 'ERR4036955']
Gene: group_4618, Count of 1s: 3, Samples with 1s: ['ERR4034964', 'ERR4035377', 'ERR4035919']
Gene: group_4632, Count of 1s: 3, Samples with 1s: ['ERR4035900', 'ERR4035970', 'ERR4037448']
Gene: symE_3, Count of 1s: 3, Samples with 1s: ['ERR4034884', 'ERR4034979', 'ERR4036769']
Gene: group_4642, Count of 1s: 3, Samples with 1s: ['ERR4035640', 'ERR4035712', 'ERR4036614']
Gene: group_4648, Count of 1s: 3, Samples with 1s: ['ERR4034254', 'ERR4034467', 'ERR4034563']
Gene: group_4650, Count of 1s: 3, Samples with 1s: ['ERR4035564', 'ERR4037405', 'ERR4037448']
Gene: group_4657, Count of 1s: 3, Samples with 1s: ['ERR4034944', 'ERR4034971', 'ERR4035283']
Gene: group_4674, Count of 1s: 3, Samples with 1s: ['ERR4036131', 'ERR4037393', 'ERR4037404']
Gene: group_4676, Count of 1s: 3, Samples with 1s: ['ERR4034376', 'ERR4035970', 'ERR4036045']
Gene: group_4685, Count of 1s: 3, Samples with 1s: ['ERR4036955', 'ERR4037382', 'ERR4037405']
Gene: group_4694, Count of 1s: 3, Samples with 1s: ['ERR4035683', 'ERR4035826', 'ERR4036397']
Gene: group_4706, Count of 1s: 3, Samples with 1s: ['ERR4035900', 'ERR4035970', 'ERR4036483']
Gene: group_4727, Count of 1s: 3, Samples with 1s: ['ERR4035274', 'ERR4035377', 'ERR4036175']
Gene: group_4733, Count of 1s: 3, Samples with 1s: ['ERR4035765', 'ERR4035970', 'ERR4036501']
Gene: group_4734, Count of 1s: 3, Samples with 1s: ['ERR4034870', 'ERR4036169', 'ERR4037007']
Gene: group_4757, Count of 1s: 3, Samples with 1s: ['ERR4034629', 'ERR4035208', 'ERR4035540']
Gene: group_4758, Count of 1s: 3, Samples with 1s: ['ERR4035229', 'ERR4035568', 'ERR4036664']
Gene: group_476, Count of 1s: 3, Samples with 1s: ['ERR4035268', 'ERR4036171', 'ERR4037009']
